Date,BAC,F,GM,GS,IBM,JPM,T,XOM
2019-03-21,24.30245590209961,6.43366003036499,34.77315139770508,168.53463745117188,102.7611312866211,86.05599212646484,14.771329879760742,61.373687744140625
2019-03-22,23.293445587158203,6.322607517242432,33.925941467285156,163.66688537597656,101.31534576416016,83.45430755615234,14.776082992553711,60.39069747924805
2019-03-25,23.146839141845703,6.3003973960876465,34.21455764770508,163.27713012695312,101.11918640136719,82.75997161865234,14.633410453796387,59.97046661376953
2019-03-26,23.465923309326172,6.485483646392822,34.326263427734375,165.16531372070312,101.87478637695312,83.58815002441406,14.928269386291504,60.7508430480957
2019-03-27,23.31069564819336,6.381834983825684,34.08420944213867,164.59365844726562,101.16276550292969,83.30374145507812,14.933023452758789,60.285621643066406
2019-03-28,23.569412231445312,6.4928879737854,34.50316619873047,165.58973693847656,101.65679168701172,84.2490234375,14.747550010681152,60.58575439453125
2019-03-29,23.79364013671875,6.5002899169921875,34.5404052734375,166.29129028320312,102.51412200927734,84.68404388427734,14.914000511169434,60.63081741333008
2019-04-01,24.612918853759766,6.648360252380371,35.154876708984375,170.40550231933594,104.11250305175781,87.53665924072266,15.194586753845215,61.328651428222656
2019-04-02,24.897506713867188,6.670571804046631,35.201419830322266,171.0637664794922,103.89454650878906,87.95494842529297,15.042407035827637,61.06602096557617
2019-04-03,24.87163543701172,6.759414196014404,35.74141311645508,173.97401428222656,104.35224914550781,88.13062286376953,15.15654182434082,60.70583724975586
2019-04-04,25.13898468017578,6.840854167938232,36.11381912231445,175.16062927246094,103.73469543457031,88.98200225830078,15.208856582641602,61.56879806518555
2019-04-05,25.07861328125,6.848258018493652,36.25346374511719,175.29055786132812,104.09795379638672,88.7712631225586,15.38481616973877,61.898956298828125
2019-04-08,25.156230926513672,6.885274887084961,36.36518478393555,175.4291534423828,104.17791748046875,89.0578842163086,15.403841972351074,62.28163146972656
2019-04-09,24.914762496948242,6.8186421394348145,36.17898941040039,173.76612854003906,103.2479476928711,88.4003677368164,15.420963287353516,61.47874450683594
2019-04-10,25.069992065429688,6.90748405456543,36.542076110839844,175.8102569580078,103.90906524658203,88.79655456542969,15.484102249145508,61.20111083984375
